Age,Weight,MetColor,Price
23.0,1105,1.0,12950
24.0,1065,0.0,16750
30.0,1105,1.0,16950
30.0,1105,1.0,15950
28.0,1120,1.0,15950
28.0,1120,1.0,16950
29.0,1120,1.0,16250
25.0,1120,1.0,15950
29.0,1120,1.0,15750
28.0,1120,0.0,16950
29.0,1100,1.0,12950
22.0,1100,1.0,15750
27.0,1100,1.0,15950
55.67215568862275,1100,1.0,14950
22.0,1100,1.0,15500
26.0,1100,0.0,15750
25.0,1100,0.0,15950
23.0,1100,1.0,14950
32.0,1100,1.0,15750
27.0,1100,0.0,14750
22.0,1100,0.0,13950
27.0,1100,1.0,16750
22.0,1100,0.0,13950
22.0,1110,1.0,15800
30.0,1110,1.0,15750
55.67215568862275,1075,1.0,13250
28.0,1110,0.0,15250
26.0,1110,0.0,15250
30.0,1130,1.0,15999
22.0,1110,1.0,14950
27.0,1130,1.0,16500
26.0,1075,1.0,16950
22.0,1110,1.0,14950
25.0,1110,1.0,15950
28.0,1110,1.0,15950
32.0,1060,1.0,12995
23.0,1110,1.0,15750
23.0,1115,1.0,16950
29.0,1115,1.0,16895
30.0,1110,1.0,14900
25.0,1110,1.0,15450
25.0,1110,1.0,16650
30.0,1100,1.0,14900
20.0,1100,1.0,16450
20.0,1100,1.0,15950
55.67215568862275,1100,1.0,16950
20.0,1075,1.0,15950
20.0,1110,1.0,16500
20.0,1110,1.0,16250
20.0,1110,1.0,15950
20.0,1110,0.0,16500
20.0,1110,1.0,16450
20.0,1110,1.0,17200
43.0,1110,0.0,6950
43.0,1084,0.0,7750
40.0,1105,1.0,11950
44.0,1110,0.0,4350
44.0,1110,1.0,4750
37.0,1075,1.0,11950
44.0,1095,1.0,11900
42.0,1025,1.0,9950
55.67215568862275,1119,1.0,11950
44.0,1075,1.0,11495
40.0,1025,1.0,11250
42.0,1075,1.0,10500
35.0,1110,1.0,10450
44.0,1045,1.0,11500
40.0,1075,1.0,12500
43.0,1060,0.0,10950
41.0,1080,0.0,11450
37.0,1121,1.0,11950
40.0,1075,1.0,11450
33.0,1075,1.0,10950
33.0,1105,0.0,13500
41.0,1025,1.0,10950
44.0,1025,1.0,10950
38.0,1075,1.0,12950
55.67215568862275,1075,1.0,11950
40.0,1075,1.0,11950
44.0,1067,1.0,14950
35.0,1075,1.0,12450
38.0,1075,1.0,12950
55.67215568862275,1040,1.0,11950
55.67215568862275,1060,1.0,11690
42.0,1080,1.0,12450
36.0,1060,1.0,12750
55.67215568862275,1025,0.0,11925
33.0,1075,1.0,12950
42.0,1030,1.0,11950
41.0,1045,1.0,12900
41.0,1075,0.0,11900
38.0,1075,1.0,11650
44.0,1075,0.0,10950
35.0,1110,1.0,13950
40.0,1080,1.0,11950
38.0,1075,1.0,10950
38.0,1055,1.0,12450
43.0,1045,1.0,11950
33.0,1075,1.0,11690
39.0,1075,1.0,13500
42.0,1050,1.0,11950
55.67215568862275,1030,1.0,12900
43.0,1085,1.0,13500
42.0,1075,0.0,11750
33.0,1075,0.0,11750
43.0,1030,0.0,10850
43.0,1075,1.0,11750
39.0,1075,1.0,9940
42.0,1075,0.0,12900
38.0,1075,1.0,13500
44.0,1025,1.0,11750
44.0,1025,0.0,11950
33.0,1075,1.0,13450
41.0,1025,1.0,11950
39.0,1075,1.0,12495
41.0,1030,0.0,13500
40.0,1075,1.0,12750
39.0,1060,1.0,12000
38.0,1075,1.0,11950
44.0,1080,1.0,12495
34.0,1040,1.0,12450
39.0,1040,0.0,10950
33.0,1105,1.0,13500
38.0,1075,1.0,12950
35.0,1105,1.0,13500
55.67215568862275,1030,1.0,13450
43.0,1075,1.0,13500
41.0,1075,1.0,11480
39.0,1060,1.0,13450
39.0,1040,0.0,11495
43.0,1025,0.0,12750
38.0,1055,1.0,14990
35.0,1060,1.0,12950
40.0,1080,1.0,12950
39.0,1085,1.0,12850
41.0,1075,1.0,11950
39.0,1075,1.0,12950
40.0,1075,1.0,11700
37.0,1025,1.0,9950
44.0,1060,1.0,11895
43.0,1075,1.0,12950
36.0,1040,1.0,12500
39.0,1075,1.0,13875
35.0,1050,0.0,10500
33.0,1075,1.0,12295
